"year","category","catval","percentile","wealth","ss","income"
2015,"education","1",42,4135.85,9627.6,17051.3
2015,"education","1",43,4295.99,9860.95,17475.75
2015,"education","1",44,4636.75,10063.9,17765.98
2015,"education","1",45,4911.28,10276.61,18075.24
2015,"education","1",46,5266,10496.07,18502.28
2015,"education","1",47,5500.76,10726.96,19035.78
2015,"education","1",48,5966.39,10927.31,19403.34
2015,"education","1",49,6366.63,11099.72,19876.97
2015,"education","1",50,6863.45,11235.81,20312.18
2015,"education","1",51,7198.13,11399.95,20664.85
2015,"education","1",52,7678.22,11638.2,21138.12
2015,"education","1",53,8097.95,11857.2,21497.91
2015,"education","1",54,8588.01,12040.8,21886.32
2015,"education","1",55,9144.48,12298.94,22373.61
2015,"education","1",56,9698.32,12526.44,22731.49
2015,"education","1",57,10215.43,12692.32,23107.18
2015,"education","1",58,11029.01,12845.25,23523.46
2015,"education","1",59,11670,13093.2,23962.08
2015,"education","1",60,12362.92,13304.58,24401.9
2015,"education","1",61,13023.31,13501.62,24971.35
2015,"education","1",62,14003.25,13724.73,25515.51
2015,"education","1",63,14946.64,13950.65,26027.96
2015,"education","1",64,15603.08,14137.56,26581.88
